freq,psd_x,psd_y,psd_z,psd_xyz,shapers:,zv(63.2),mzv(62.4),ei(76.8),2hump_ei(98.8),3hump_ei(121.6)
76.3,7.298e+03,9.970e+01,1.508e+01,7.413e+03,,0.951,0.931,0.925,0.919,0.914
77.8,5.955e+03,1.211e+02,1.445e+01,6.091e+03,,0.949,0.929,0.923,0.916,0.912
79.4,5.182e+03,1.314e+02,1.295e+01,5.327e+03,,0.947,0.927,0.921,0.914,0.909
80.9,4.382e+03,9.842e+01,9.393e+00,4.490e+03,,0.946,0.924,0.918,0.911,0.906
82.5,3.692e+03,6.985e+01,7.106e+00,3.769e+03,,0.944,0.922,0.916,0.909,0.904
84.1,3.133e+03,5.161e+01,6.080e+00,3.191e+03,,0.943,0.920,0.914,0.906,0.901
85.6,2.592e+03,3.685e+01,5.164e+00,2.634e+03,,0.941,0.918,0.911,0.904,0.899
87.2,2.251e+03,2.497e+01,4.422e+00,2.281e+03,,0.939,0.915,0.909,0.901,0.896
88.7,2.008e+03,1.907e+01,4.338e+00,2.031e+03,,0.937,0.913,0.906,0.898,0.893
90.3,1.779e+03,1.607e+01,4.434e+00,1.799e+03,,0.936,0.911,0.904,0.896,0.890
91.8,1.614e+03,1.366e+01,4.366e+00,1.632e+03,,0.934,0.908,0.901,0.893,0.887
93.4,1.474e+03,1.083e+01,4.614e+00,1.490e+03,,0.932,0.906,0.899,0.890,0.885
95.0,1.336e+03,1.025e+01,4.777e+00,1.351e+03,,0.930,0.903,0.896,0.888,0.882
96.5,1.257e+03,1.029e+01,5.204e+00,1.272e+03,,0.928,0.901,0.893,0.885,0.879
98.1,1.201e+03,9.303e+00,5.728e+00,1.216e+03,,0.927,0.899,0.891,0.882,0.876
99.6,1.096e+03,9.943e+00,6.036e+00,1.112e+03,,0.925,0.896,0.888,0.879,0.873
101.2,1.027e+03,9.896e+00,6.068e+00,1.043e+03,,0.923,0.893,0.885,0.876,0.870
102.7,9.609e+02,9.278e+00,6.772e+00,9.769e+02,,0.921,0.891,0.883,0.874,0.867
104.3,8.841e+02,8.598e+00,8.049e+00,9.008e+02,,0.919,0.888,0.880,0.871,0.864
105.8,8.310e+02,8.876e+00,8.688e+00,8.486e+02,,0.917,0.886,0.877,0.868,0.861
107.4,7.880e+02,9.505e+00,1.064e+01,8.082e+02,,0.915,0.883,0.874,0.865,0.858
109.0,7.256e+02,1.030e+01,1.333e+01,7.492e+02,,0.913,0.880,0.872,0.862,0.855
110.5,6.935e+02,1.115e+01,1.589e+01,7.206e+02,,0.911,0.878,0.869,0.859,0.852
112.1,6.515e+02,1.121e+01,1.917e+01,6.818e+02,,0.909,0.875,0.866,0.856,0.849
113.6,6.147e+02,1.167e+01,2.328e+01,6.496e+02,,0.907,0.872,0.863,0.853,0.845
115.2,6.051e+02,1.266e+01,2.866e+01,6.464e+02,,0.905,0.869,0.860,0.850,0.842
116.7,5.765e+02,1.494e+01,3.893e+01,6.304e+02,,0.903,0.867,0.857,0.847,0.839
118.3,5.415e+02,1.762e+01,5.389e+01,6.130e+02,,0.900,0.864,0.854,0.844,0.836
119.9,5.340e+02,2.120e+01,6.841e+01,6.236e+02,,0.898,0.861,0.851,0.840,0.833
121.4,5.035e+02,2.589e+01,8.675e+01,6.162e+02,,0.896,0.858,0.848,0.837,0.829
123.0,4.690e+02,3.456e+01,1.119e+02,6.154e+02,,0.894,0.855,0.845,0.834,0.826
124.5,4.680e+02,4.692e+01,1.448e+02,6.597e+02,,0.892,0.852,0.842,0.831,0.823
126.1,4.400e+02,6.331e+01,1.838e+02,6.871e+02,,0.890,0.849,0.839,0.828,0.819
127.6,4.123e+02,8.101e+01,2.246e+02,7.179e+02,,0.887,0.846,0.836,0.824,0.816
129.2,4.285e+02,9.356e+01,2.507e+02,7.728e+02,,0.885,0.844,0.832,0.821,0.813
130.8,3.902e+02,1.012e+02,2.531e+02,7.445e+02,,0.883,0.841,0.829,0.818,0.809
132.3,3.637e+02,1.004e+02,2.335e+02,6.976e+02,,0.880,0.838,0.826,0.815,0.806
133.9,3.013e+02,9.575e+01,2.075e+02,6.045e+02,,0.878,0.835,0.823,0.811,0.802
135.4,9.370e+01,7.912e+01,1.481e+02,3.209e+02,,0.876,0.832,0.820,0.808,0.799
137.0,2.644e+01,6.673e+01,1.144e+02,2.075e+02,,0.873,0.828,0.816,0.804,0.795
138.5,1.794e+01,5.695e+01,9.172e+01,1.666e+02,,0.871,0.825,0.813,0.801,0.792
140.1,1.696e+01,4.766e+01,7.206e+01,1.367e+02,,0.869,0.822,0.810,0.798,0.788
141.7,1.548e+01,4.216e+01,6.067e+01,1.183e+02,,0.866,0.819,0.807,0.794,0.785
143.2,1.411e+01,3.686e+01,5.025e+01,1.012e+02,,0.864,0.816,0.803,0.791,0.781
144.8,1.381e+01,3.323e+01,4.285e+01,8.989e+01,,0.861,0.813,0.800,0.787,0.778
146.3,1.433e+01,2.840e+01,3.345e+01,7.618e+01,,0.859,0.810,0.797,0.784,0.774
147.9,1.535e+01,2.805e+01,3.064e+01,7.404e+01,,0.856,0.806,0.793,0.780,0.770
149.4,1.265e+01,2.622e+01,2.755e+01,6.642e+01,,0.854,0.803,0.790,0.777,0.767
151.0,1.704e+01,2.533e+01,2.436e+01,6.673e+01,,0.851,0.800,0.786,0.773,0.763
152.5,1.790e+01,2.402e+01,2.124e+01,6.316e+01,,0.849,0.797,0.783,0.770,0.759
154.1,2.004e+01,2.146e+01,2.017e+01,6.167e+01,,0.846,0.793,0.779,0.766,0.756
155.7,1.886e+01,2.099e+01,2.139e+01,6.125e+01,,0.843,0.790,0.776,0.763,0.752
157.2,2.565e+01,1.921e+01,1.853e+01,6.339e+01,,0.841,0.787,0.772,0.759,0.748
158.8,2.414e+01,1.916e+01,1.870e+01,6.201e+01,,0.838,0.783,0.769,0.755,0.745
160.3,2.593e+01,1.915e+01,1.766e+01,6.274e+01,,0.836,0.780,0.765,0.752,0.741
161.9,2.696e+01,1.852e+01,1.838e+01,6.386e+01,,0.833,0.776,0.762,0.748,0.737
163.4,2.889e+01,1.579e+01,1.610e+01,6.078e+01,,0.830,0.773,0.758,0.744,0.733
165.0,3.170e+01,1.516e+01,1.514e+01,6.200e+01,,0.827,0.770,0.755,0.741,0.730
166.6,3.379e+01,1.310e+01,1.317e+01,6.006e+01,,0.825,0.766,0.751,0.737,0.726
168.1,3.652e+01,1.059e+01,1.233e+01,5.944e+01,,0.822,0.763,0.747,0.733,0.722
169.7,3.830e+01,9.297e+00,1.109e+01,5.868e+01,,0.819,0.759,0.744,0.729,0.718
171.2,3.833e+01,8.585e+00,1.014e+01,5.705e+01,,0.816,0.756,0.740,0.726,0.714
172.8,4.351e+01,7.863e+00,9.546e+00,6.092e+01,,0.814,0.752,0.736,0.722,0.710
174.3,4.317e+01,7.280e+00,9.001e+00,5.945e+01,,0.811,0.749,0.733,0.718,0.706
175.9,5.147e+01,6.487e+00,7.804e+00,6.576e+01,,0.808,0.745,0.729,0.714,0.703
177.5,5.321e+01,5.945e+00,7.166e+00,6.633e+01,,0.805,0.742,0.725,0.710,0.699
179.0,5.447e+01,5.538e+00,7.123e+00,6.713e+01,,0.802,0.738,0.722,0.707,0.695
180.6,5.603e+01,5.567e+00,6.675e+00,6.828e+01,,0.799,0.734,0.718,0.703,0.691
182.1,5.500e+01,4.753e+00,5.572e+00,6.532e+01,,0.797,0.731,0.714,0.699,0.687
183.7,5.512e+01,4.705e+00,4.969e+00,6.479e+01,,0.794,0.727,0.710,0.695,0.683
185.2,5.665e+01,5.210e+00,4.604e+00,6.647e+01,,0.791,0.724,0.706,0.691,0.679
186.8,5.081e+01,4.278e+00,3.899e+00,5.898e+01,,0.788,0.720,0.703,0.687,0.675
188.3,5.649e+01,5.441e+00,3.843e+00,6.578e+01,,0.785,0.716,0.699,0.683,0.671
189.9,5.579e+01,5.162e+00,3.616e+00,6.457e+01,,0.782,0.713,0.695,0.680,0.667
191.5,4.899e+01,4.290e+00,3.311e+00,5.659e+01,,0.779,0.709,0.691,0.676,0.663
193.0,5.228e+01,5.292e+00,3.678e+00,6.125e+01,,0.776,0.705,0.687,0.672,0.659
194.6,5.131e+01,5.342e+00,3.627e+00,6.028e+01,,0.773,0.701,0.684,0.668,0.655
196.1,4.836e+01,4.702e+00,3.036e+00,5.610e+01,,0.770,0.698,0.680,0.664,0.651
197.7,5.299e+01,4.264e+00,2.983e+00,6.024e+01,,0.766,0.694,0.676,0.660,0.647
199.2,5.560e+01,4.344e+00,2.876e+00,6.282e+01,,0.763,0.690,0.672,0.656,0.643
200.8,4.506e+01,3.776e+00,2.312e+00,5.115e+01,,0.760,0.686,0.668,0.652,0.639
202.4,4.491e+01,4.053e+00,2.407e+00,5.137e+01,,0.757,0.683,0.664,0.648,0.635
