freq,psd_x,psd_y,psd_z,psd_xyz,shapers:,zv(50.2),mzv(49.8),ei(61.0),2hump_ei(78.2),3hump_ei(96.6)
26.5,1.013e+00,9.075e+02,7.308e-01,9.092e+02,,0.985,0.979,0.977,0.974,0.972
28.1,1.271e+00,1.068e+03,6.719e-01,1.070e+03,,0.984,0.977,0.975,0.972,0.970
29.6,1.137e+00,1.259e+03,6.944e-01,1.261e+03,,0.983,0.975,0.973,0.970,0.968
31.2,1.191e+00,1.523e+03,7.907e-01,1.525e+03,,0.981,0.973,0.971,0.968,0.966
32.7,1.092e+00,1.867e+03,8.528e-01,1.869e+03,,0.980,0.972,0.969,0.966,0.963
34.3,1.208e+00,2.300e+03,1.133e+00,2.302e+03,,0.979,0.970,0.967,0.963,0.961
35.8,1.380e+00,2.881e+03,1.368e+00,2.884e+03,,0.977,0.968,0.965,0.961,0.959
37.4,1.556e+00,3.713e+03,2.095e+00,3.716e+03,,0.976,0.966,0.963,0.959,0.957
39.0,2.064e+00,4.897e+03,3.543e+00,4.903e+03,,0.974,0.964,0.961,0.956,0.954
40.5,3.103e+00,6.895e+03,6.566e+00,6.905e+03,,0.973,0.962,0.958,0.954,0.951
42.1,4.818e+00,1.030e+04,1.365e+01,1.032e+04,,0.971,0.960,0.956,0.951,0.949
43.6,1.060e+01,1.928e+04,4.100e+01,1.933e+04,,0.970,0.958,0.954,0.949,0.946
45.2,2.263e+01,4.055e+04,1.247e+02,4.070e+04,,0.968,0.955,0.951,0.946,0.943
46.8,3.737e+01,6.534e+04,2.389e+02,6.562e+04,,0.967,0.953,0.949,0.944,0.941
48.3,5.545e+01,7.361e+04,3.064e+02,7.397e+04,,0.965,0.951,0.947,0.941,0.938
49.9,7.607e+01,6.325e+04,3.118e+02,6.364e+04,,0.963,0.949,0.944,0.939,0.935
51.4,1.028e+02,4.808e+04,2.943e+02,4.848e+04,,0.962,0.946,0.941,0.936,0.932
53.0,1.296e+02,3.810e+04,2.946e+02,3.853e+04,,0.960,0.944,0.939,0.933,0.929
54.6,1.406e+02,2.899e+04,2.779e+02,2.941e+04,,0.958,0.941,0.936,0.930,0.926
56.1,1.356e+02,2.210e+04,2.514e+02,2.249e+04,,0.956,0.939,0.933,0.927,0.923
57.7,1.590e+02,1.954e+04,2.648e+02,1.997e+04,,0.954,0.936,0.931,0.924,0.920
59.2,1.800e+02,1.699e+04,2.614e+02,1.743e+04,,0.952,0.934,0.928,0.921,0.917
60.8,2.010e+02,1.432e+04,2.421e+02,1.476e+04,,0.951,0.931,0.925,0.918,0.914
62.3,2.659e+02,1.335e+04,2.463e+02,1.386e+04,,0.948,0.928,0.922,0.915,0.911
63.9,3.525e+02,1.222e+04,2.378e+02,1.281e+04,,0.946,0.926,0.919,0.912,0.907
65.5,3.733e+02,1.026e+04,1.981e+02,1.084e+04,,0.944,0.923,0.916,0.909,0.904
67.0,3.438e+02,8.938e+03,1.670e+02,9.449e+03,,0.942,0.920,0.913,0.905,0.901
68.6,2.914e+02,6.228e+03,1.042e+02,6.623e+03,,0.940,0.917,0.910,0.902,0.897
70.1,2.036e+02,3.613e+03,5.124e+01,3.867e+03,,0.938,0.914,0.907,0.899,0.894
71.7,2.071e+02,3.236e+03,9.677e+01,3.540e+03,,0.936,0.912,0.904,0.896,0.891
73.3,1.816e+02,3.459e+03,1.876e+02,3.828e+03,,0.934,0.909,0.901,0.892,0.887
74.8,1.392e+02,3.107e+03,1.971e+02,3.443e+03,,0.931,0.905,0.897,0.889,0.883
76.4,1.094e+02,2.765e+03,1.621e+02,3.036e+03,,0.929,0.902,0.894,0.885,0.880
77.9,8.059e+01,2.316e+03,1.200e+02,2.516e+03,,0.927,0.899,0.891,0.882,0.876
79.5,6.752e+01,1.834e+03,7.830e+01,1.980e+03,,0.924,0.896,0.887,0.878,0.872
81.0,6.105e+01,1.555e+03,5.446e+01,1.670e+03,,0.922,0.893,0.884,0.874,0.869
82.6,5.288e+01,1.237e+03,3.406e+01,1.324e+03,,0.919,0.890,0.881,0.871,0.865
84.2,5.261e+01,9.350e+02,1.920e+01,1.007e+03,,0.917,0.887,0.877,0.867,0.861
85.7,5.346e+01,7.421e+02,1.121e+01,8.067e+02,,0.915,0.883,0.874,0.863,0.857
87.3,5.666e+01,5.953e+02,7.429e+00,6.594e+02,,0.912,0.880,0.870,0.860,0.853
88.8,7.900e+01,5.516e+02,7.086e+00,6.377e+02,,0.909,0.876,0.866,0.856,0.849
90.4,9.829e+01,5.786e+02,9.495e+00,6.864e+02,,0.907,0.873,0.863,0.852,0.845
92.0,1.076e+02,5.705e+02,1.161e+01,6.897e+02,,0.904,0.869,0.859,0.848,0.841
93.5,1.104e+02,4.847e+02,1.416e+01,6.093e+02,,0.901,0.866,0.855,0.844,0.837
95.1,1.119e+02,4.305e+02,1.845e+01,5.609e+02,,0.899,0.863,0.851,0.840,0.833
96.6,1.164e+02,3.536e+02,2.153e+01,4.915e+02,,0.896,0.859,0.848,0.836,0.829
98.2,1.124e+02,3.196e+02,2.700e+01,4.591e+02,,0.893,0.856,0.844,0.832,0.825
99.8,1.130e+02,3.079e+02,3.412e+01,4.551e+02,,0.890,0.852,0.840,0.828,0.821
101.3,1.107e+02,2.972e+02,3.854e+01,4.464e+02,,0.888,0.848,0.836,0.824,0.816
102.9,1.137e+02,2.876e+02,4.538e+01,4.467e+02,,0.885,0.844,0.832,0.820,0.812
104.4,1.148e+02,2.793e+02,5.716e+01,4.512e+02,,0.882,0.841,0.828,0.816,0.808
106.0,1.199e+02,2.786e+02,6.581e+01,4.643e+02,,0.879,0.837,0.824,0.811,0.804
107.5,1.241e+02,2.781e+02,7.984e+01,4.820e+02,,0.876,0.833,0.820,0.807,0.799
109.1,1.225e+02,2.672e+02,9.896e+01,4.887e+02,,0.873,0.829,0.816,0.803,0.795
110.7,1.231e+02,2.591e+02,1.144e+02,4.966e+02,,0.870,0.825,0.812,0.799,0.791
112.2,1.219e+02,2.620e+02,1.432e+02,5.271e+02,,0.867,0.821,0.808,0.794,0.786
113.8,1.354e+02,2.707e+02,1.849e+02,5.911e+02,,0.864,0.817,0.803,0.790,0.782
115.3,1.477e+02,2.607e+02,2.193e+02,6.276e+02,,0.861,0.813,0.799,0.785,0.777
116.9,1.554e+02,2.621e+02,2.654e+02,6.828e+02,,0.858,0.809,0.795,0.781,0.772
118.5,1.584e+02,2.690e+02,3.313e+02,7.587e+02,,0.854,0.806,0.791,0.777,0.768
120.0,1.653e+02,2.747e+02,4.032e+02,8.433e+02,,0.851,0.802,0.786,0.772,0.763
121.6,1.666e+02,3.075e+02,5.312e+02,1.005e+03,,0.848,0.798,0.782,0.768,0.759
123.1,1.746e+02,3.669e+02,7.199e+02,1.261e+03,,0.845,0.793,0.778,0.763,0.754
124.7,1.528e+02,4.028e+02,8.330e+02,1.389e+03,,0.842,0.789,0.773,0.759,0.749
126.2,1.468e+02,4.717e+02,9.962e+02,1.615e+03,,0.838,0.785,0.769,0.754,0.745
127.8,1.180e+02,5.213e+02,1.063e+03,1.702e+03,,0.835,0.781,0.764,0.749,0.740
129.4,1.061e+02,5.130e+02,1.051e+03,1.670e+03,,0.831,0.776,0.760,0.745,0.735
130.9,9.927e+01,5.315e+02,1.094e+03,1.725e+03,,0.828,0.772,0.755,0.740,0.730
132.5,8.411e+01,5.159e+02,1.071e+03,1.671e+03,,0.825,0.768,0.751,0.735,0.726
134.0,8.978e+01,4.968e+02,9.851e+02,1.572e+03,,0.821,0.764,0.746,0.731,0.721
135.6,9.886e+01,4.630e+02,8.206e+02,1.382e+03,,0.818,0.759,0.742,0.726,0.716
137.2,9.871e+01,4.533e+02,7.264e+02,1.278e+03,,0.814,0.755,0.737,0.721,0.711
138.7,8.539e+01,4.403e+02,6.536e+02,1.179e+03,,0.811,0.750,0.732,0.716,0.706
140.3,8.269e+01,4.203e+02,5.943e+02,1.097e+03,,0.807,0.746,0.728,0.711,0.701
141.8,6.789e+01,4.063e+02,5.290e+02,1.003e+03,,0.803,0.741,0.723,0.707,0.696
143.4,6.172e+01,3.620e+02,4.323e+02,8.560e+02,,0.800,0.737,0.718,0.702,0.692
144.9,6.540e+01,3.099e+02,3.299e+02,7.052e+02,,0.796,0.733,0.714,0.697,0.687
146.5,5.558e+01,2.710e+02,2.662e+02,5.928e+02,,0.793,0.728,0.709,0.692,0.682
148.1,4.669e+01,2.489e+02,2.264e+02,5.220e+02,,0.789,0.723,0.704,0.687,0.677
149.6,4.588e+01,2.449e+02,2.138e+02,5.046e+02,,0.785,0.719,0.699,0.682,0.672
151.2,4.209e+01,2.217e+02,1.922e+02,4.559e+02,,0.781,0.714,0.694,0.677,0.667
152.7,4.582e+01,2.049e+02,1.641e+02,4.148e+02,,0.777,0.710,0.690,0.672,0.662
154.3,4.206e+01,1.892e+02,1.492e+02,3.804e+02,,0.774,0.705,0.685,0.667,0.656
155.9,3.548e+01,1.620e+02,1.235e+02,3.210e+02,,0.770,0.700,0.680,0.662,0.651
157.4,3.409e+01,1.344e+02,1.020e+02,2.705e+02,,0.766,0.696,0.675,0.657,0.646
159.0,3.238e+01,1.177e+02,8.635e+01,2.364e+02,,0.762,0.691,0.670,0.652,0.641
160.5,3.120e+01,1.073e+02,7.211e+01,2.107e+02,,0.758,0.686,0.665,0.647,0.636
162.1,2.829e+01,9.046e+01,6.185e+01,1.806e+02,,0.754,0.681,0.660,0.642,0.631
163.7,2.962e+01,7.506e+01,4.776e+01,1.524e+02,,0.750,0.677,0.655,0.637,0.626
165.2,2.670e+01,6.568e+01,4.206e+01,1.344e+02,,0.746,0.672,0.650,0.632,0.621
166.8,2.306e+01,5.553e+01,3.318e+01,1.118e+02,,0.742,0.667,0.645,0.627,0.616
168.3,2.401e+01,5.002e+01,3.071e+01,1.047e+02,,0.738,0.662,0.640,0.622,0.610
169.9,1.861e+01,4.222e+01,2.493e+01,8.576e+01,,0.734,0.657,0.635,0.617,0.605
171.4,1.742e+01,3.592e+01,1.941e+01,7.275e+01,,0.730,0.652,0.630,0.612,0.600
173.0,1.624e+01,3.449e+01,1.921e+01,6.993e+01,,0.726,0.647,0.625,0.607,0.595
174.6,1.919e+01,3.213e+01,1.673e+01,6.804e+01,,0.722,0.643,0.620,0.601,0.590
176.1,2.240e+01,2.789e+01,1.442e+01,6.472e+01,,0.717,0.638,0.615,0.596,0.584
177.7,2.614e+01,2.968e+01,1.356e+01,6.938e+01,,0.713,0.633,0.610,0.591,0.579
179.2,3.036e+01,2.847e+01,1.216e+01,7.100e+01,,0.709,0.628,0.605,0.586,0.574
180.8,4.121e+01,3.265e+01,1.241e+01,8.628e+01,,0.705,0.623,0.600,0.581,0.569
182.4,4.161e+01,3.346e+01,1.211e+01,8.718e+01,,0.701,0.618,0.594,0.576,0.564
183.9,4.968e+01,3.311e+01,1.168e+01,9.447e+01,,0.696,0.613,0.589,0.570,0.558
185.5,6.976e+01,3.417e+01,1.034e+01,1.143e+02,,0.692,0.608,0.584,0.565,0.553
187.0,7.004e+01,2.962e+01,8.972e+00,1.086e+02,,0.688,0.603,0.579,0.560,0.548
188.6,8.292e+01,3.490e+01,8.852e+00,1.267e+02,,0.683,0.598,0.574,0.555,0.543
190.1,9.111e+01,3.570e+01,8.057e+00,1.349e+02,,0.679,0.593,0.569,0.550,0.537
191.7,8.916e+01,3.348e+01,7.107e+00,1.297e+02,,0.674,0.588,0.563,0.544,0.532
193.3,7.937e+01,3.467e+01,7.171e+00,1.212e+02,,0.670,0.583,0.558,0.539,0.527
194.8,9.644e+01,3.739e+01,6.598e+00,1.404e+02,,0.666,0.578,0.553,0.534,0.522
196.4,8.874e+01,3.685e+01,5.756e+00,1.313e+02,,0.661,0.572,0.548,0.529,0.516
197.9,9.223e+01,3.588e+01,6.566e+00,1.347e+02,,0.657,0.567,0.543,0.523,0.511
199.5,9.759e+01,3.781e+01,5.947e+00,1.413e+02,,0.652,0.562,0.537,0.518,0.506
201.1,8.813e+01,3.652e+01,5.493e+00,1.301e+02,,0.648,0.557,0.532,0.513,0.501
